Title,Date,Content
The value of Low Profile Social Accounts,2022-02-19T18:05:00.002Z,"यदि आप सोशल मीडिया पर एक्टिव हैं लेकिन आप के पढ़ने वाले, सुनने वाले, देखने वाले बहुत ज़्यादा नहीं हैं तो मायूस न हों. बहुत बड़ा योगदान हो सकता है आपका दुनिया की बेहतरी में. कैसे? बड़े प्रोफाइल वाले लोग कुछ भी हाहाकारी कहें तो बवाल मच जाता है. लोग सड़क पे उतर आते हैं, कोर्ट चले जाते हैं, ज़रा-ज़रा सी बात ले कर. सो उन के लिए मुश्किल है. लेकिन Low Profile social media account से आप कैसी भी बात कह सकते हैं. जल्दी कुछ नहीं होगा और आप की बात भी समाज तक पहुँच जाएगी. प्रसिद्ध लोगों को भी नकली अकाउंट बना के अपनी असल बात पहुँचानी चाहिए दुनिया के सामने और शायद वो करते भी हों ऐसा. ~तुषार कॉस्मिक"
Holy-shit,2021-06-20T09:28:00.002Z,ईसाई रविवार को छुट्टी रखते थे और चर्च जाते थे. सो इन्होने इस दिन को Holiday कहना शुरू कर दिया. लेकिन जैसे-जैसे ईसाईयों में धर्म के प्रति मोह घटना शुरू हुआ तो वहां Holy-crap यानि पवित्र कचरा और Holy-shit यानि पवित्र टट्टी जैसे शब्द भी चलन में आ गए. .... हमारे यहाँ पता नहीं ऐसा कब होगा?
,2018-08-20T21:03:00.002Z,"सब चाहते हैं कि मिठाई की दूकान हो जाऊं मैं. लेकिन मैं तो ज़हर बेचता हूँ. पोटैशियम साइनाइड. खाओ और मर जाओ. फिर जिंदा होकर निकलो. लेकिन नए. बिना धर्मों की बकवास के. जैसे शुरू में थे, जब पैदा हुए थे."
ये तो नेता लोग हैं जो लड़वा रहे हैं पब्लिक को?,2019-07-28T07:14:00.002Z,"बड़े मासूम हैं वो मुस्लिम, जो शरीफ से बन कहते हैं, ""ये तो नेता लोग हैं जो लड़वा रहे हैं पब्लिक को......ऊपर से ये टीवी वाले डिबेट ऐसी करवाते हैं कि दंगा न होना हो तो भी हो जाये...."" मेरे प्यारे दोस्तो, कभी कुरान भी समझ लिया करो या सिर्फ रटते हो. आपके मोहम्मद साहेब ने दुनिया को क्लियर दो हिस्सों में बाँट रखा है. ईमानदार और बे-ईमान. मुसलमान और बे-ईमान. और बे-ईमान के लिए हिदायत हैं, आयत हैं कि वो तो दुश्मन है. तुम्हारा. अल्लाह का. कायनात का. तुम किस मुंह से कहते हो मियां भाई कि नेता ने लड़ा दिया, टीवी एंकर ने भिड़ा दिया? न..न..ये तो माध्यम हैं. मीडिया हैं. गैर-मुस्लिम को समझाया जा रहा है और उसे समझ आ भी रहा है. नतीजा तुम्हारे सामने है. जीरो ही नहीं, नेगेटिव परफॉरमेंस के बावज़ूद मोदी फिर से गद्दी पर है. अगर गलत है तो बोलिए भाई-जान. और सही है तो भी बोलिए भाई-साहेब."
अक्सर सुनता हूँ कि हिन्दुओं ने आक्रमण झेले हैं लेकिन खुद कभी किसी पर आक्रमण नहीं किया. गलत है सरासर यह.,2021-12-27T16:39:00.005Z,अक्सर सुनता हूँ कि हिन्दुओं ने आक्रमण झेले हैं लेकिन खुद कभी किसी पर आक्रमण नहीं किया. गलत है सरासर यह. अशोक ने कलिंग पर आक्रमण किया था या नहीं? कलिंग की धरती खून से लाल कर दी थी. पृथ्वीराज चौहान तो संयोगिता को भरे दरबार से उठा लाये थे. राम ने भी अपने राज्य की सीमा बढ़ाने को ही तो अश्व छोड़ा था. मार-काट तो हिन्दू और बौधों में भी हुई. शैव और वैष्णवों में भी हुई. कुम्भ के शाही स्नान में कौन पहले करेगा इसलिए भी खूनी लडाइयां होती थी नागा बाबा अखाड़ों में. और हम कहते हैं हम ने कभी आक्रमण नहीं किया! असल में हमारी दुनिया ही सीमित थी. हम बहुत दूर तक लड़ने जा नहीं पाए. जहाँ तक लड़ सकते थे लड़ते रहे. ~तुषार
What is this bullshit? ,2023-12-09T02:56:00Z,"Left, Right. Far right, far left. Mid right, mid left. Idiotic. Either someone is idiotic or wise. Right or Wrong. That is it. This right-wing-left-wing theory is idiotic"
,2019-07-28T07:30:00.001Z,"1400 साल से मुस्लिम मार-मार के समझा रहे हैं कि इस्लाम अमन का दीन है, लेकिन काफ़िर हैं कि समझने को तैयार ही नहीं."
प्रजातंत्र या  अर्थतन्त्र का षड्यन्त्र ,2016-11-26T16:58:00Z,"मोदी भक्त-जन, बस इतना जवाब दें कि कोई धन काला कैसे हो गया? सरकार नौकर है. जनता मालिक है. है कि नहीं? फिर आज तक कभी कोई सर्वे हुआ कि जनता (मालिक) कितना टैक्स देकर सरकार चलवाना चाहती हैं? अँधा-धुंध टैक्स लगाओ और फिर कोई न दे तो उसे चोर घोषित करो. ऐसी सरकारों की ऐसी की तैसी. भाजपा के अपना खाता बताया कि करोड़ों रुपये जो मोदी खर्च करके PM बना , वो कहाँ से आए थे? हमें कॉर्पोरेट धन से हमारे नेता बने लोगों का विरोध करना चाहिए. हमें छदम प्रजातंत्र का विरोध करना चाहिए. तभी हम प्रजातंत्र के असली मतलब को जी पायेंगे.वरना हम सिर्फ अर्थ-तन्त्र आधारित छद्म-तन्त्र षड्यन्त्र में पड़े रहेंगे. असल प्रजातंत्र तब होगा जब आप और मुझ में से कोई भी प्रधान-मंत्री बन सके. बन सके अपनी मन्त्रणा की क्षमता की वजह से. न कि इसलिए कि वो किसी संस्था में जीवन भर रहा, न कि इसलिए कि उसे कोई अंध-धुंध पैसे से देवता बना गया. उम्मीद है समझ आए. तुषार कॉस्मिक"
मरने और मारने वाले दोनों मुसलमान.  अल्लाह-हु-अकबर.,2022-03-08T17:18:00.003Z,"जो लोग पाकिस्तान से आये थे, उन में मेरे पिता भी थे. वो ""पिशोरी जुत्ती"" याद करते थे, ""पिशोरी लाल"" नाम भी होते थे, पश्चिम पुरी, दिल्ली में आज भी ""पिशोरियाँ दा ढाबा"" है. तो साहेबान, कद्रदान, मेहरबान, जिगर थाम कर आगे पढ़िए. उसी पिशोर की मस्ज़िद में फटा बम. 70 से ज़्यादा बन्दे हलाक. मरने और मारने वाले दोनों मुसलमान. अल्लाह-हु-अकबर. ~ तुषार कॉस्मिक"
FUCK THIS FUCKED UP EDUCATION,2015-06-19T20:21:00.001Z,"We learn in many ways. How did we learn our mother tongue? Of-course through our mother and father's words, their tongue. How do we learn a foreign language? Now there are two ways, first same as we learn our first language and the second , bookish way, learning, tenses, verbs, nouns and grammar. How did you learn typing? The classic way, the way of typing schools? Which finger on which letter, defined way? Or typing haphazardly, any finger, whichever suited you on any letter and by and by, typing fine, not perfectly still very fine and very fast too. How do a singer learn? Reshma, Sai Zahoor and many other world class singers, either never learnt or learnt very little in a bookish way. So to where I wanna drive you? Simple, learn, learning is good, but don't rely upon bookish style only. Once I had some monetary exchanges with someone. The man was not much literate. I was explaining principal amount, then the days he kept my money with him, then the interest rate etc.... in my way, bookish way. All Greek to him. My father was also sitting there. He addressed me somewhat rebukingly, his words,"" 2+2=4, 1+3=4,5-1=4, explain the other in the way in which he can understand, not the way you understand."" Here is the point. One should learn and one should teach. But how? As the learner wants to get taught. As the learner can learn. As the learner's inherent qualities, capabilities get enhanced. If Reshma had been taught music in style of Lata Mangeshkar, what would have happened? A disaster. She had a different voice, different pattern, a rawness. Gotcha? Do you think people who are pass outs of Hotel management course become good Hoteliers? Come on. They even do not become good hotel employees many a times. MBA pass outs, master of business administration, what they do? They just become employees of some under graduate business tycoon. I was just reading that Jack Ma, the richest man of China, the owner of Alibaba.com, a company which is bigger than the combination of eBay.com and Amazon.com, he was rejected from college both at home and abroad more than a dozen times before finally securing a spot at a local university in his hometown of Hangzhou, where he studied English. So what is the point of this whole writing? Am I against learning? Never, I understand, it is the learning which defines a human being, how can I be against learning, never. I am against putting learning into some defined pattern, even if someone learns through this kinda pattern, one becomes THE ONE, when learns outta that pattern. And what present education system does? It is preparing kids to become just employees. It is preparing kids to succeed as employees and fail as adventurers, as entrepreneurs. Fail as enthusiasts.Fail as freethinkers. It is preparing our kids to fail in LIFE. This education is for the benefit of everyone except the learner, everyone, the schools, the politicians, the religions, all, except the kid. I have written above that the teacher should teach as the learner can understand, as the learner's capabilities may flourish.Education is for the learner, not for the teacher, not for the vested interests of anyone else. This word education comes from ""educe"", which means ""to bring out"", that means education is the process to bring out the inherent capabilities of a learning, to water the seed, to provide the appropriate land, to do everything to help the seed to be a grand tree, to flower, to flourish. And what our education does? It just go on outpouring its established garbage upon the learner and suffocate the slightest chance of flowering the natural capabilities. This system, this pattern tries every bit to circumscribe students' inherent capabilities. Actually it has nothing to do with anyone's individuality. Everyone should understand Pythagoras theorem. Everyone should understand higher algebra. Everyone should understand when was Akbar born and when died, exact year. Hell! The kid wanna understand Zebra and teacher wanna teach algebra. The kid wanna understand emotion and the teacher waanna teach motion, Newtons's laws of motion. The kid wanna understand his life and the teacher wanna him understand Akbar's life. Hell !! Is this education or some system to distort human intelligence? What I understand, this is a conspiracy of the politicians, the religious people (they too are politicians only with a different name tag) and the big capitalists. Why they don't wanna raise free thinking, free thinkers? Simple. A free thinker will never accept slavery of some fat ass just because his/her father left million or billion dollars in his/her name. A free thinker may challenge this whole system of inheritance. A free thinker may challenge this stupid system called democracy, which is just another name of imperialism. A free thinker is very dangerous. Every child is a free thinker. So systematic system, to destroy the natural intelligence of the kids. Education is thy name. This education system is insult to intelligence. This education is conspiracy against humanity. A crime against humanity. Gotcha? Beware, learn but first learn to learn, learn but be aware. Hope you do. Comment plz Copy Right"
